column,data_type,human_name,semantic,purpose,non_null_w1,total_w1,pct_w1,non_null_w2,total_w2,pct_w2,non_null_total,total_all,pct_all,samples,relation_map,enum_map,related_table,related_column,date_split_column
Heb_Name,varchar(200),"Hebrew Name","record name; varchar; e.g.","record name",0,0,,14204,29361,48.38,241462,259549,93.03," | N/O | Debora Venturesime | OLIM-MIK BEAU MONDE | GOROD GREM",,,,,created_at
Eng_Name,varchar(200),"English Name","record name; varchar; e.g. Uspeh Kapitolina IZ Kitaiskogo Kvartala","record name",0,0,,15509,29361,52.82,245197,259549,94.47,"Uspeh Kapitolina IZ Kitaiskogo Kvartala | Amalia | Kuuhaukun King-Ping | Rocky Of Newbiggin | Vanderful John",,,,,created_at
BeitGidulID,"decimal(28,8)","Breeding House","identifier; decimal; e.g. 0.00000000",identifier,0,0,,7029,29361,23.94,106837,259549,41.16,"0.00000000 | 7028.00000000 | 7208.00000000 | 7067.00000000 | 6311.00000000",breedinghouses.GidulCode,,breedinghouses,GidulCode,created_at
RegDate,datetime(6),"Registration Date","date - registration; datetime; e.g. 2009-12-24 00:00:00.000000","date - registration",0,0,,29335,29361,99.91,259522,259549,99.99,"2009-12-24 00:00:00.000000 | 2009-12-14 00:00:00.000000 | 2009-11-17 00:00:00.000000 | 2009-11-12 00:00:00.000000 | 2009-10-14 00:00:00.000000",,,,,created_at
BirthDate,datetime(6),"Birth Date","date - birth; datetime; e.g. 1900-01-01 00:00:00.000000","date - birth",0,0,,16630,29361,56.64,246776,259549,95.08,"1900-01-01 00:00:00.000000 | 2009-01-05 00:00:00.000000 | 2008-09-30 00:00:00.000000 | 2005-06-05 00:00:00.000000 | 2000-07-22 00:00:00.000000",,,,,created_at
RaceID,"decimal(28,8)","Breed Code","relation; decimal; e.g. 195.00000000",relation,0,0,,29361,29361,100,259549,259549,100,"195.00000000 | 200.00000000 | 205.00000000 | 203.00000000 | 998.00000000",BreedsDB.BreedCode,,BreedsDB,BreedCode,created_at
ColorID,"decimal(28,8)","Color Code","relation; decimal; e.g. 8.00000000",relation,0,0,,29356,29361,99.98,259542,259549,100,"8.00000000 | 9000.00000000 | 74.00000000 | 1.00000000 | 9.00000000",ColorsDB.OldCode,,ColorsDB,OldCode,created_at
HairID,"decimal(28,8)","Hair Code","relation; decimal; e.g. 4.00000000",relation,0,0,,29297,29361,99.78,259485,259549,99.98,"4.00000000 | 3.00000000 | 2.00000000 | 1.00000000 | 30.00000000",HairsDB.OldCode,,HairsDB,OldCode,created_at
SupplementarySign,"decimal(28,8)","Supplementary Sign","data; decimal; e.g. 0.00000000",data,0,0,,0,29361,0,139912,259549,53.91,"0.00000000 | 1.00000000 | 12.00000000 | 6.00000000 | 24.00000000",,,,,created_at
GrowerId,"decimal(28,8)","Breeder (User)","relation; decimal; e.g. 0.00000000",relation,0,0,,0,29361,0,225189,259549,86.76,"0.00000000 | 6238.00000000 | 357.00000000 | 5320.00000000 | 3915.00000000",users.id,,users,id,created_at
