table,column,human_name,data_type,is_nullable,char_length,used_w1,total_w1,pct_w1,grade_w1,used_w2,total_w2,pct_w2,grade_w2,used_all,total_all,pct_all,grade_all,distinct_non_empty_all,description_short,description_long,date_filter,notes
JudgesDB,DataID,Data Id,bigint,NO,,284,284,100.00,10,93,93,100.00,10,377,377,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: bigint, Nullable: NO.",CreationDateTime,"Data type: bigint, Nullable: NO."
JudgesDB,ModificationDateTime,Modification Date Time,datetime,YES,,284,284,100.00,10,9,93,9.68,3,293,377,77.72,10,,Last modification timestamp.,"Date/time when the row was last updated. Often nullable; not used for windowing. Useful for audit trails but not a presence indicator. Type: datetime, Nullable: YES.",CreationDateTime,"Data type: datetime, Nullable: YES."
JudgesDB,CreationDateTime,Creation Date Time,datetime,YES,,284,284,100.00,10,93,93,100.00,10,377,377,100.00,10,,Creation timestamp of the record.,"Date/time the row was created. Used for windowing (W1/W2) when available. Ensure timezone consistency and non-nullability assumptions. Type: datetime, Nullable: YES.",CreationDateTime,"Data type: datetime, Nullable: YES. Primary candidate for windowing (W1/W2) if populated; otherwise fallback to other date columns."
JudgesDB,JudgeNameHE,Judge Name Hebrew,varchar,YES,200,284,284,100.00,10,93,93,100.00,10,377,377,100.00,10,,Name or label text.,"Human-readable name field. For bilingual columns (Hebrew/English), consider fallbacks and presentation rules in UI. Type: varchar(200), Nullable: YES.",CreationDateTime,"Data type: varchar(200), Nullable: YES."
JudgesDB,JudgeNameEN,Judge Name English,varchar,YES,200,284,284,100.00,10,93,93,100.00,10,377,377,100.00,10,,Name or label text.,"Human-readable name field. For bilingual columns (Hebrew/English), consider fallbacks and presentation rules in UI. Type: varchar(200), Nullable: YES.",CreationDateTime,"Data type: varchar(200), Nullable: YES."
JudgesDB,Country,Country,varchar,YES,200,284,284,100.00,10,93,93,100.00,10,377,377,100.00,10,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(200), Nullable: YES.",CreationDateTime,"Data type: varchar(200), Nullable: YES."
JudgesDB,BreedID,Breed Id,decimal,YES,,284,284,100.00,10,93,93,100.00,10,377,377,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",CreationDateTime,"Rarely used; not a strict FK. Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
JudgesDB,Email,Email,varchar,YES,200,0,284,0.00,1,0,93,0.00,1,0,377,0.00,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(200), Nullable: YES.",CreationDateTime,"Data type: varchar(200), Nullable: YES."
ShowsDB,id,Id,bigint,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: bigint, Nullable: NO.",created_at,"Data type: bigint, Nullable: NO. Likely FK; confirm target table via relationship map."
ShowsDB,DataID,Data Id,bigint,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: bigint, Nullable: NO.",created_at,"Legacy identifier, unused post‑2022. Data type: bigint, Nullable: NO."
ShowsDB,ModificationDateTime,Modification Date Time,datetime,YES,,0,14,0.00,1,0,559,0.00,1,329,902,36.47,8,,Last modification timestamp.,"Date/time when the row was last updated. Often nullable; not used for windowing. Useful for audit trails but not a presence indicator. Type: datetime, Nullable: YES.",created_at,"Data type: datetime, Nullable: YES."
ShowsDB,CreationDateTime,Creation Date Time,datetime,YES,,0,14,0.00,1,0,559,0.00,1,329,902,36.47,8,,Creation timestamp of the record.,"Date/time the row was created. Used for windowing (W1/W2) when available. Ensure timezone consistency and non-nullability assumptions. Type: datetime, Nullable: YES.",created_at,"Legacy creation timestamp, unused post‑2022. Data type: datetime, Nullable: YES. Primary candidate for windowing (W1/W2) if populated; otherwise fallback to other date columns."
ShowsDB,TitleName,Title Name,varchar,YES,200,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Name or label text.,"Human-readable name field. For bilingual columns (Hebrew/English), consider fallbacks and presentation rules in UI. Type: varchar(200), Nullable: YES.",created_at,"Data type: varchar(200), Nullable: YES."
ShowsDB,StartDate,Start Date,datetime,YES,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Date/time value.,"Temporal field; confirm timezone and valid ranges. In legacy data some fields may be sparsely populated. Type: datetime, Nullable: YES.",created_at,"Data type: datetime, Nullable: YES."
ShowsDB,ShortDesc,Short Desc,varchar,YES,4000,0,14,0.00,1,0,559,0.00,1,81,902,8.98,3,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(4000), Nullable: YES.",created_at,"Data type: varchar(4000), Nullable: YES."
ShowsDB,LongDesc,Long Desc,longtext,YES,4294967295,14,14,100.00,10,559,559,100.00,10,583,902,64.63,9,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: longtext(4294967295), Nullable: YES.",created_at,"Data type: longtext(4294967295), Nullable: YES."
ShowsDB,TopImage,Top Image,varchar,YES,300,0,14,0.00,1,0,559,0.00,1,0,902,0.00,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(300), Nullable: YES.",created_at,"Data type: varchar(300), Nullable: YES."
ShowsDB,MaxRegisters,Max Registers,decimal,YES,,14,14,100.00,10,559,559,100.00,10,583,902,64.63,9,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,ShowType,Show Type,decimal,YES,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: decimal, Nullable: YES.",created_at,"Enumerated type (see model accessor). Data type: decimal, Nullable: YES."
ShowsDB,ClubID,Club Id,decimal,YES,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
ShowsDB,EndRegistrationDate,End Registration Date,datetime,YES,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Date/time value.,"Temporal field; confirm timezone and valid ranges. In legacy data some fields may be sparsely populated. Type: datetime, Nullable: YES.",created_at,"Data type: datetime, Nullable: YES."
ShowsDB,ShowStatus,Show Status,decimal,YES,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,EndDate,End Date,datetime,YES,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Date/time value.,"Temporal field; confirm timezone and valid ranges. In legacy data some fields may be sparsely populated. Type: datetime, Nullable: YES.",created_at,"Data type: datetime, Nullable: YES."
ShowsDB,ShowPrice,Show Price,decimal,YES,,0,14,0.00,1,0,559,0.00,1,180,902,19.96,6,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,Dog2Price1,Dog2Price1,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
ShowsDB,Dog2Price2,Dog2Price2,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
ShowsDB,Dog2Price3,Dog2Price3,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
