table,column,human_name,used_count,total_w2,used_pct,grade,should,notes,date_filter
action_logs,id,Id,93292,93292,100.00,A,should,,created_at
action_logs,user_id,User Id,93292,93292,100.00,A,should,,created_at
action_logs,sagir_id,Sagir Id,4584,93292,4.91,A,should,,created_at
action_logs,user_ip,User Ip,93292,93292,100.00,A,should,,created_at
action_logs,date_time,Date Time,93292,93292,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
action_logs,action_name,Action Name,93292,93292,100.00,A,should,,created_at
action_logs,action_full_desc,Action Full Desc,93292,93292,100.00,A,should,,created_at
action_logs,action_topic,Action Topic,93292,93292,100.00,A,should,,created_at
action_logs,related_task_id,Related Task Id,445,93292,0.48,A,should,,created_at
action_logs,current_field,Current Field,83170,93292,89.15,B,should,,created_at
action_logs,updated_field,Updated Field,42842,93292,45.92,C,consider,Date/time semantics; check timezone and nullability.,created_at
action_logs,created_at,Created At,93292,93292,100.00,A,should,,created_at
action_logs,updated_at,Updated At,0,93292,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
action_logs,deleted_at,Deleted At,0,93292,0.00,F,shouldn't,,created_at
agra_cities,id,Id,186,186,100.00,A,should,,created_at
agra_cities,name,Name,186,186,100.00,A,should,,created_at
agra_cities,vet_email,Vet Email,186,186,100.00,A,should,,created_at
agra_cities,created_at,Created At,186,186,100.00,A,should,,created_at
agra_cities,updated_at,Updated At,186,186,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
breed2color,id,Id,5,5,100.00,A,should,,created_at
breed2color,breed_id,Breed Id,5,5,100.00,A,should,,created_at
breed2color,color_id,Color Id,5,5,100.00,A,should,,created_at
breed2color,created_at,Created At,5,5,100.00,A,should,,created_at
breed2color,updated_at,Updated At,5,5,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
breed2color,deleted_at,Deleted At,0,5,0.00,F,shouldn't,,created_at
breedhouses2users,id,Id,534,534,100.00,A,should,,created_at
breedhouses2users,breedinghouse_id,Breedinghouse Id,534,534,100.00,A,should,,created_at
breedhouses2users,user_id,User Id,534,534,100.00,A,should,,created_at
breedhouses2users,created_at,Created At,534,534,100.00,A,should,,created_at
breedhouses2users,updated_at,Updated At,534,534,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
breedinghouses,id,Id,98,98,100.00,A,should,,created_at
breedinghouses,DataID,Data Id,0,98,0.00,A,should,,created_at
breedinghouses,ModificationDateTime,Modification Date Time,0,98,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
breedinghouses,CreationDateTime,Creation Date Time,0,98,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
breedinghouses,GidulCode,Gidul Code,98,98,100.00,A,should,,created_at
breedinghouses,HebName,Heb Name,98,98,100.00,A,should,,created_at
breedinghouses,EngName,Eng Name,98,98,100.00,A,should,,created_at
breedinghouses,MegadelCode,Megadel Code,98,98,100.00,A,should,,created_at
breedinghouses,MisparNosaf,Mispar Nosaf,0,98,0.00,F,shouldn't,,created_at
breedinghouses,Phone,Phone,95,98,96.94,A,should,,created_at
breedinghouses,Email,Email,0,98,0.00,F,shouldn't,,created_at
breedinghouses,created_at,Created At,98,98,100.00,A,should,,created_at
breedinghouses,updated_at,Updated At,98,98,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
breedinghouses,deleted_at,Deleted At,3,98,3.06,F,shouldn't,,created_at
breedinghouses,status,Status,98,98,100.00,A,should,,created_at
breedinghouses,name_location,Name Location,91,98,92.86,B,should,,created_at
breedinghouses,recommended,Recommended,98,98,100.00,A,should,,created_at
breedinghouses,perfect,Perfect,98,98,100.00,A,should,,created_at
breedinghouses,recommended_from_date,Recommended From Date,0,98,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
breedinghouses,perfect_from_date,Perfect From Date,2,98,2.04,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
breedings,id,Id,3363,3363,100.00,A,should,,created_at
breedings,SagirId,Sagir Id,3363,3363,100.00,A,should,,created_at
breedings,BreddingDate,Bredding Date,3363,3363,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
breedings,MaleSagirId,Male Sagir Id,3362,3363,99.97,A,should,,created_at
breedings,Rules_IsOwner,Rules Is Owner,3363,3363,100.00,A,should,,created_at
breedings,BreedMismatch,Breed Mismatch,3363,3363,100.00,A,should,,created_at
breedings,Male_More_Than_5,Male More Than 5,3363,3363,100.00,A,should,,created_at
breedings,Male_More_Than_2,Male More Than 2,3363,3363,100.00,A,should,,created_at
breedings,Male_DNA,Male Dna,3363,3363,100.00,A,should,,created_at
breedings,Female_DNA,Female Dna,3363,3363,100.00,A,should,,created_at
breedings,Male_Breeding_Not_Approved,Male Breeding Not Approved,3363,3363,100.00,A,should,,created_at
breedings,Female_Breeding_Not_Approved,Female Breeding Not Approved,3363,3363,100.00,A,should,,created_at
