table,column,window,total,empty_count,non_empty_count,non_empty_pct,distinct_non_empty,notes
ShowsDB,DataID,W1,343,14,329,95.92,329,Legacy DataID used pre-2022
ShowsDB,CreationDateTime,W1,343,14,329,95.92,,
ShowsDB,TitleName,W1,343,0,343,100.00,,avg_len≈24.83
ShowsDB,LongDesc,W1,343,319,24,6.99,,
ShowsDB,MaxRegisters,W1,343,319,24,6.99,,
ShowsDB,ShowType,W1,343,19,324,94.46,,
ShowsDB,ClubID,W1,343,262,81,23.62,,
ShowsDB,ShowStatus,W1,343,33,310,90.38,,
ShowsDB,FreeTextDesc,W1,343,343,0,0.00,,Unused
ShowsDB,created_at,W1,343,329,14,4.08,,
ShowsDB,start_from_index,W1,343,0,343,100.00,,
ShowsDB,location,W1,343,342,1,0.29,,
ShowsDB,Check_all_members,W1,343,343,0,0.00,,
ShowsDB,DataID,W2,559,559,0,0.00,0,Legacy DataID unused post-2022
ShowsDB,CreationDateTime,W2,559,559,0,0.00,,
ShowsDB,TitleName,W2,559,0,559,100.00,,avg_len≈36.87
ShowsDB,LongDesc,W2,559,0,559,100.00,,avg_len≈135.67
ShowsDB,MaxRegisters,W2,559,0,559,100.00,,
ShowsDB,ShowType,W2,559,0,559,100.00,,
ShowsDB,ClubID,W2,559,0,559,100.00,,
ShowsDB,ShowStatus,W2,559,0,559,100.00,,
ShowsDB,FreeTextDesc,W2,559,559,0,0.00,,Unused
ShowsDB,created_at,W2,559,0,559,100.00,,
ShowsDB,start_from_index,W2,559,97,462,82.65,,
ShowsDB,location,W2,559,38,521,93.21,,
ShowsDB,Check_all_members,W2,559,527,32,5.73,,
Shows_Structure,DataID,W1,1479,31,1448,97.90,1448,
Shows_Structure,CreationDateTime,W1,1479,31,1448,97.90,,
Shows_Structure,ShowID,W1,1479,0,1479,100.00,330,
Shows_Structure,GroupName,W1,1479,2,1477,99.86,,
Shows_Structure,GroupParentID,W1,1479,755,724,48.96,,
Shows_Structure,ClassID,W1,1479,1479,0,0.00,,
Shows_Structure,ArenaType,W1,1479,1436,43,2.91,,
Shows_Structure,created_at,W1,1479,0,1479,100.00,,
Shows_Structure,JudgeID,W1,1479,1478,1,0.07,,matches Judges=1
Shows_Structure,arena_date,W1,1479,1479,0,0.00,,
Shows_Structure,OrderTime,W1,1479,1479,0,0.00,,
Shows_Structure,DataID,W2,1207,1207,0,0.00,0,
Shows_Structure,CreationDateTime,W2,1207,1207,0,0.00,,
Shows_Structure,ShowID,W2,1207,0,1207,100.00,560,
Shows_Structure,GroupName,W2,1207,0,1207,100.00,,
Shows_Structure,GroupParentID,W2,1207,1207,0,0.00,,
Shows_Structure,ClassID,W2,1207,1207,0,0.00,,
Shows_Structure,ArenaType,W2,1207,0,1207,100.00,,
Shows_Structure,created_at,W2,1207,0,1207,100.00,,
Shows_Structure,JudgeID,W2,1207,907,300,24.85,,matches Judges=299
Shows_Structure,arena_date,W2,1207,1164,43,3.56,,
Shows_Structure,OrderTime,W2,1207,1124,83,6.88,,
Shows_Breeds,RaceID,W1,7482,0,7482,100.00,212,100% → BreedCode
Shows_Breeds,ArenaID,W1,7482,0,7482,100.00,560,
Shows_Breeds,ShowID,W1,7482,0,7482,100.00,254,
Shows_Breeds,JudgeID,W1,7482,697,6785,90.68,265,
Shows_Breeds,RaceID,W2,14107,0,14107,100.00,253,100% → BreedCode
Shows_Breeds,ArenaID,W2,14107,0,14107,100.00,1019,
Shows_Breeds,ShowID,W2,14107,0,14107,100.00,560,
Shows_Breeds,JudgeID,W2,14107,9826,4281,30.34,185,
Shows_Classes,DataID,W1,137306,34,137272,99.98,137272,
Shows_Classes,ClassName,W1,137306,8,137298,99.99,,
Shows_Classes,Age_FromMonths,W1,137306,16,137290,99.99,16,
Shows_Classes,Age_TillMonths,W1,137306,16,137290,99.99,27,
Shows_Classes,SpecialClassID,W1,137306,137306,0,0.00,0,
Shows_Classes,ShowRaceID,W1,137306,34,137272,99.98,8550,
Shows_Classes,ShowID,W1,137306,0,137306,100.00,326,
Shows_Classes,ShowArenaID,W1,137306,8,137298,99.99,684,
Shows_Classes,Status,W1,137306,42,137264,99.97,2,
Shows_Classes,IsChampClass,W1,137306,120164,17142,12.48,,flag sparse
Shows_Classes,IsWorkingClass,W1,137306,120164,17142,12.48,,
Shows_Classes,IsOpenClass,W1,137306,120164,17142,12.48,,
Shows_Classes,IsVeteranClass,W1,137306,120164,17142,12.48,,
Shows_Classes,BreedID,W1,137306,0,137306,100.00,219,
Shows_Classes,GenderID,W1,137306,8,137298,99.99,2,
Shows_Classes,HairID,W1,137306,42,137264,99.97,1,
Shows_Classes,ColorID,W1,137306,42,137264,99.97,2,
Shows_Classes,ShowMainArenaID,W1,137306,202,137104,99.85,671,
Shows_Classes,AwardIDClass,W1,137306,137306,0,0.00,0,
Shows_Classes,created_at,W1,137306,0,137306,100.00,,
Shows_Classes,DataID,W2,303775,0,303775,100.00,287974,
Shows_Classes,ClassName,W2,303775,0,303775,100.00,,
Shows_Classes,Age_FromMonths,W2,303775,0,303775,100.00,7,
Shows_Classes,Age_TillMonths,W2,303775,0,303775,100.00,11,
Shows_Classes,SpecialClassID,W2,303775,303775,0,0.00,0,
Shows_Classes,ShowRaceID,W2,303775,0,303775,100.00,18090,
Shows_Classes,ShowID,W2,303775,0,303775,100.00,555,
Shows_Classes,ShowArenaID,W2,303775,0,303775,100.00,1155,
Shows_Classes,Status,W2,303775,0,303775,100.00,2,
Shows_Classes,IsChampClass,W2,303775,265843,37932,12.49,,flag sparse
Shows_Classes,IsWorkingClass,W2,303775,265843,37932,12.49,,
Shows_Classes,IsOpenClass,W2,303775,265843,37932,12.49,,
Shows_Classes,IsVeteranClass,W2,303775,265843,37932,12.49,,
Shows_Classes,BreedID,W2,303775,0,303775,100.00,255,
Shows_Classes,GenderID,W2,303775,0,303775,100.00,2,
Shows_Classes,HairID,W2,303775,0,303775,100.00,1,
Shows_Classes,ColorID,W2,303775,0,303775,100.00,2,
Shows_Classes,ShowMainArenaID,W2,303775,303775,0,0.00,0,Unused post-2022
Shows_Classes,AwardIDClass,W2,303775,303775,0,0.00,0,
Shows_Classes,created_at,W2,303775,0,303775,100.00,,
