385,725,479,GR.V.CH,"Greece Veteran Champion",,2,"2017-11-27 15:20:44.000000","2016-06-02 13:32:25.000000",,,
91,341,101,GRAND.CH,"אלוף על",,469,"2011-11-07 13:33:48.000000","2009-12-23 13:11:13.717000",,,
40,281,41,H.CH,"אלוף הונגריה","Hungaria Champion",786,"2010-04-01 10:31:31.000000","2009-12-23 13:11:13.450000",,"2022-10-24 09:34:17",
13,254,14,H.GCH,"אלוף על הונגריה",,108,"2011-02-15 16:23:26.000000","2009-12-23 13:11:13.123000",,,
176,449,209,H.JCH,"אלוף הונגריה צעיר","Hungaria Junior Champion",434,"2010-04-01 10:35:34.000000","2009-12-23 13:11:14.357000",,"2022-10-24 09:35:01",
498,0,506,H.SH.CH,"Hungaria Show Champion","Hungaria Show Champion",3,,,"2022-05-31 08:50:58","2022-05-31 08:50:58",
421,693,448,H.VCH,"אלוף הונגריה קשיש","Hungaria Veteran Champion",9,"2014-07-17 16:00:35.000000","2014-07-17 16:00:35.000000",,"2022-10-24 09:35:37",
75,322,82,HK.CH,"אלוף הונגקונג",,5,"2011-09-18 14:35:15.000000","2009-12-23 13:11:13.637000",,,
51,293,53,HR.CH,"אלוף קרואטיה",,312,"2010-04-01 10:33:49.000000","2009-12-23 13:11:13.513000",,,
432,701,455,HR.GCH,"אלוף על קרואטיה",,13,"2016-08-23 09:52:33.000000","2015-04-14 10:32:18.000000",,,
201,481,241,HR.JCH,"אלוף קרואטיה צעיר",,76,"2010-04-01 10:34:05.000000","2010-01-06 17:59:55.000000",,,
536,0,622,HR.SH.CH,"אלוף תערוכות קרואטיה","אלוף תערוכות קרואטיה",2,,,"2024-04-30 10:12:13","2024-05-01 06:19:45",
17,258,18,HS.CH,,,109,"2011-08-11 16:00:03.000000","2009-12-23 13:11:13.183000",,,
233,535,293,I-CH,,,105,"2010-09-19 13:50:51.000000","2010-09-19 13:50:51.000000",,,
161,425,173,IB-CH,,,96,"2010-03-21 09:59:46.000000","2009-12-23 13:11:14.217000",,,
53,295,55,ICELAND-CH,,,5,"2009-12-23 13:11:13.513000","2009-12-23 13:11:13.513000",,,
