235,295,BHP1,"תואר עבודה",,15,
262,330,BHP2,"תואר עבודה",,8,
234,294,BHP3,"תואר עבודה",,11,
35,36,BIH.CH,,,14,
388,484,BiH.JCH,,,4,
178,211,BK.HCH,,,22,
181,214,BLR.CH,"אלוף בלרוס",,1924,
279,345,BLR.GCH,"אלוף על בלרוס ",,63,
56,251,BLR.JCH,"אלוף בלרוס צעיר",,197,
346,419,BOL.J.CH.,"אלוף בוליביה צעיר",,1,
345,418,BOLIVIA.CH,"אלוף בוליביה",,1,
44,46,BOS&HER.CH,,,54,
290,362,BOS&HER.JCH,"אלוף בוסניה הרצגובינה צעיר",,6,
141,155,BOSNEI-CH,,,8,
123,135,BR.CH,"אלוף ברזיל",,47,
396,472,BR.GCH,"אלוף על ברזיל",,3,
331,454,BR.JCH,"אלוף צעיר ברזיל",,1,
288,360,BRAZ-CH,"אלוף ברזיל",,12,
27,28,BUL.CH,"אלוף בולגריה",,558,
216,272,BUL.GCH,"אלוף-על בולגריה",,63,
240,300,BUL.JCH,"אלוף צעיר בולגריה",,32,
467,525,BW-18,"Breed Winner 2018",,156,
468,526,BW-19,"Breed Winner 2019",,147,
475,533,BW-20,"Breed Winner 2020",,129,
489,544,BW-21,"Breed Winner 2021",,150,
507,546,BW-22,"Breed Winner 2022",BW-22,150,
529,73,BW-23,"Breed Winner 2023",BW-23,162,
554,624,BW-24,,"כלב השנה 2024",128,
205,250,"BY J-CH","BY JCH",,107,
72,79,BY-CH,,,217,
377,462,BY.GCH,BY.GCH,,25,
100,111,CAC,"מועמד לאליפות ישראל",,16160,
29,30,CAC+CACIB,,,337,
102,113,CACIB,"מועמד לאליפות יופי בינלאומית",,9290,
5,6,"CACIB X5",,,17,
505,612,CACIB-J,,JCACIB,533,
506,611,CACIB-V,,VCACIB,136,
509,702,CACT,CACT,"FCI IGP3",1,
520,616,CAL1,"מבחן עבודה LAVORO רמה 1",CAL1,0,
521,617,CAL2,"מבחן עבודה LAVORO רמה 2",CAL2,21,
30,31,CAN.CH,"אלוף קנדה",,375,
298,371,CAN.GCH,"אלוף על קנדה",,1,
354,428,CAUC.CH,"אלוף קווקז",,6,
340,413,CHI.CH,"אלוף צ'ילה",,21,
357,431,CHINA.CH,"אלוף סין",,7,
33,34,CL.CH,,,52,
339,412,COL.CH,"אלוף קולומביה",,4,
338,411,COSTA.CH,"אלוף קוסטה ריקה",,23,
443,436,COSTA.JCH,"אלוף קוסטה ריקה צעיר",,3,
172,204,CR.CH,"אלוף קרואטיה",,128,
